x,y
12.278249,1.152063
13.043502,0.114110
12.297193,1.154309
12.116576,1.002696
11.345810,0.025529
11.272991,0.013956
11.802245,0.409162
11.584812,0.135648
12.712145,0.566911
11.977990,0.747862
12.235802,1.134602
10.713214,0.000031
11.615326,0.162208
12.377968,1.125341
13.084519,0.087777
11.870960,0.534168
10.826893,0.000131
13.951066,0.000013
11.283591,0.015280
12.240978,1.137635
11.830026,0.457903
13.090396,0.084440
11.854084,0.502148
11.565760,0.120839
10.586614,0.000005
12.490450,0.991730
12.054210,0.896402
11.969892,0.731511
12.339787,1.146723
13.190148,0.041858
10.987910,0.000856
11.654359,0.201593
13.299409,0.017637
13.241872,0.028151
12.940094,0.207703
12.658671,0.673679
10.697753,0.000025
12.669409,0.651987
10.907443,0.000344
11.501966,0.080259
13.604360,0.000931
12.325592,1.151186
11.721703,0.284661
13.638134,0.000641
13.226504,0.031747
12.487231,0.996790
11.851265,0.496876
13.136777,0.061566
13.490093,0.003072
11.211317,0.008082
13.921539,0.000019
11.717239,0.278552
13.274301,0.021703
10.950712,0.000565
10.846396,0.000166
13.628000,0.000718
11.011542,0.001107
11.453905,0.057655
10.646379,0.000012
11.629548,0.175837
12.698229,0.594317
11.065404,0.001955
13.686330,0.000370
12.174062,1.080193
12.485555,0.999400
12.975445,0.170959
13.987697,0.000008
13.112587,0.072758
13.720286,0.000248
10.730065,0.000038
13.838519,0.000057
13.995156,0.000007
10.790993,0.000084
13.525888,0.002139
12.131229,1.024593
11.197775,0.007138
11.955183,0.701732
13.011334,0.138806
12.705194,0.580556
10.676389,0.000019
13.099410,0.079524
12.049505,0.887683
13.625909,0.000735
11.074100,0.002139
11.464304,0.062034
11.363223,0.029302
13.484655,0.003242
13.613901,0.000839
12.976495,0.169946
13.906408,0.000023
11.989230,0.770464
12.723245,0.545326
13.286680,0.019606
13.017175,0.134041
13.791594,0.000104
11.376603,0.032520
10.839215,0.000152
13.144515,0.058303
10.797776,0.000091
11.543444,0.105129
13.428195,0.005601
13.079695,0.090594
13.488121,0.003133
11.849743,0.494038
12.513504,0.953810
12.413047,1.094214
13.715526,0.000263
11.252182,0.011648
11.529079,0.095903
13.691442,0.000349
13.508416,0.002556
12.785914,0.429607
11.776836,0.367058
12.983321,0.163470
12.900790,0.254749
11.997944,0.787882
12.532644,0.920318
12.497904,0.979784
10.722427,0.000034
11.643363,0.189864
11.223611,0.009035
11.764381,0.347344
13.462605,0.004027
10.883527,0.000260
10.640230,0.000011
11.962642,0.716842
11.851151,0.496662
11.220018,0.008746
12.983767,0.163053
13.673916,0.000427
13.282278,0.020331
11.160374,0.005025
12.980481,0.166141
12.267004,1.149098
11.304018,0.018149
12.218142,1.122416
10.776107,0.000069
13.874074,0.000036
12.541737,0.903847
11.119716,0.003386
10.841367,0.000156
13.260360,0.024298
11.033012,0.001393
13.950281,0.000013
11.271504,0.013778
13.274552,0.021659
13.447937,0.004641
11.184872,0.006332
12.085712,0.952473
12.000039,0.792053
13.121631,0.068393
13.516198,0.002361
12.237706,1.135746
12.620725,0.750453
12.075360,0.934527
12.879824,0.282562
13.153171,0.054824
12.999312,0.149018
13.088882,0.085290
11.329888,0.022456
13.158833,0.052644
13.243890,0.027706
13.133713,0.062900
13.760979,0.000152
13.871975,0.000037
12.808473,0.391100
12.993763,0.153919
10.888155,0.000274
12.331290,1.149625
12.946032,0.201168
13.226284,0.031801
11.439838,0.052143
11.615906,0.162748
13.454131,0.004372
10.882878,0.000258
12.136380,1.031963
11.447065,0.054917
10.940635,0.000504
11.720207,0.282605
10.998178,0.000958
13.404434,0.006994
12.851513,0.323106
11.486301,0.072209
13.077897,0.091662
13.537555,0.001896
12.589562,0.812642
10.971877,0.000717
10.693885,0.000024
12.226616,1.128615
11.522599,0.091958
12.846050,0.331318
12.823981,0.365745
12.609326,0.773357
